id,name,lat,lon,capacity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,"River Street , Clerkenwell",51.52916347,-0.109970527,18,3.0,3.0,3.0,3.0,3.0,3.0,2.3333333333333335,0.0,0.0,0.6666666666666666,1.0,5.666666666666667,6.666666666666667,12.5,11.2,,,,,,,3.0,3.0,3.0
1,"River Street , Clerkenwell",51.52916347,-0.109970527,19,,,,,,,,,,,,,,,11.0,10.166666666666666,10.0,10.0,10.833333333333334,12.833333333333334,15.833333333333334,16.5,,
2,"Phillimore Gardens, Kensington",51.49960695,-0.197574246,37,2.0,2.0,2.0,2.0,2.0,1.8333333333333333,1.1666666666666667,1.6666666666666667,1.1666666666666667,0.5,1.6666666666666667,1.1666666666666667,0.5,1.1666666666666667,1.5,0.5,2.8333333333333335,2.6666666666666665,2.3333333333333335,1.0,1.1666666666666667,2.1666666666666665,2.1666666666666665,2.3333333333333335
3,"Christopher Street, Liverpool Street",51.52128377,-0.084605692,32,4.0,4.0,4.0,4.0,4.0,4.0,4.666666666666667,10.0,16.166666666666668,23.0,24.5,24.0,24.333333333333332,25.0,25.833333333333332,24.833333333333332,21.0,16.333333333333332,11.333333333333334,10.333333333333334,6.0,4.0,6.0,4.0
4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,22,,,,,,,,,,2.0,2.0,1.6666666666666667,1.2,,,,,,,,,,,
4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,23,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.8333333333333333,0.16666666666666666,0.0,,,1.0,0.8333333333333334,0.8333333333333334,0.0,1.6666666666666667,5.166666666666667,8.833333333333334,9.666666666666666,10.0,7.166666666666667,2.8333333333333335,4.0
5,"Sedding Street, Sloane Square",51.49313,-0.156876,27,3.0,3.0,3.0,3.0,3.0,3.0,3.5,6.833333333333333,21.666666666666668,15.833333333333334,9.0,12.5,11.333333333333334,13.5,15.0,13.333333333333334,13.166666666666666,12.666666666666666,7.0,3.5,1.8333333333333333,2.0,3.5,3.0
6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,17,,,,,,,,,14.166666666666666,16.333333333333332,15.5,17.0,16.333333333333332,,,,,,,,,,,
6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,18,6.666666666666667,5.0,5.0,5.0,5.0,5.333333333333333,6.5,7.833333333333333,,,,,,17.166666666666668,14.833333333333334,9.333333333333334,4.0,1.8333333333333333,2.3333333333333335,1.8333333333333333,0.5,3.1666666666666665,8.0,8.0
7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,13,,,,,,,,,,1.1666666666666667,1.3333333333333333,0.16666666666666666,0.25,,,,,,,,,,,
7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,14,,,,,2.0,2.0,1.5,1.6666666666666667,0.0,,,,0.0,0.0,0.0,2.0,2.5,3.5,5.0,3.3333333333333335,,,,
7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,15,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,5.166666666666667,5.5,6.0,5.0
8,"Lodge Road, St. John's Wood",51.52834133,-0.170134484,38,34.833333333333336,34.0,34.666666666666664,35.0,35.0,35.0,34.0,27.5,17.333333333333332,8.333333333333334,5.833333333333333,5.0,,,,,,,,30.75,35.166666666666664,32.833333333333336,32.0,35.0
8,"Lodge Road, St. John's Wood",51.52834133,-0.170134484,39,,,,,,,,,,,,5.333333333333333,6.0,2.6666666666666665,1.5,1.8333333333333333,3.6666666666666665,8.5,15.5,26.0,,,,
9,"New Globe Walk, Bankside",51.5073853,-0.096440751,17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.3333333333333335,4.333333333333333,8.333333333333334,10.0,10.0,10.0,,,,,,,,,,2.0,2.0
9,"New Globe Walk, Bankside",51.5073853,-0.096440751,18,,,,,,,,,,,,,9.0,7.333333333333333,6.5,4.333333333333333,1.6666666666666667,0.16666666666666666,0.16666666666666666,0.0,0.0,4.0,,
9,"New Globe Walk, Bankside",51.5073853,-0.096440751,19,,,,,,,,,,,,,,,,,,,,,2.5,2.5,,
10,"Park Street, Bankside",51.50597426,-0.092754157,18,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.5,12.166666666666666,15.666666666666666,16.333333333333332,15.833333333333334,15.0,14.0,13.0,11.0,7.333333333333333,7.333333333333333,7.0,7.5,7.0,8.666666666666666,13.0,13.0
11,"Brunswick Square, Bloomsbury",51.52395143,-0.122502346,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8333333333333335,5.166666666666667,9.333333333333334,14.666666666666666,15.166666666666666,15.333333333333334,15.833333333333334,15.5,14.333333333333334,11.333333333333334,14.666666666666666,13.333333333333334,10.333333333333334,6.5,0.3333333333333333,0.0
12,"Malet Street, Bloomsbury",51.52168078,-0.130431727,49,16.5,16.5,16.0,14.666666666666666,14.0,14.0,14.0,12.833333333333334,15.333333333333334,32.5,43.333333333333336,48.833333333333336,47.166666666666664,49.0,48.5,46.833333333333336,37.0,28.5,17.666666666666668,10.833333333333334,7.0,6.833333333333333,14.333333333333334,15.833333333333334
13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,20,3.0,3.0,3.0,3.0,3.0,3.0,3.1666666666666665,4.0,6.0,10.833333333333334,14.0,15.5,16.5,19.666666666666668,19.5,20.0,16.833333333333332,15.0,10.5,10.5,8.333333333333334,6.0,4.0,3.3333333333333335
13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,21,,,,,,,,,,,,,,,,,,15.0,11.5,,,,,
14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,42,,,,,,,,,,,,,,,,,,14.5,22.833333333333332,34.333333333333336,37.166666666666664,35.5,,
14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,43,,,,,,,,,,,,,,,,12.0,18.833333333333332,,,,,,,
14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,44,,,,,,,,33.0,36.5,13.166666666666666,7.333333333333333,2.1666666666666665,4.166666666666667,7.833333333333333,10.833333333333334,11.75,,,,,,,,
14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,45,21.166666666666668,22.0,22.0,22.0,22.0,25.0,24.166666666666668,23.6,,,,,,,,,,,,,,20.0,20.0,20.166666666666668
15,"Great Russell Street, Bloomsbury",51.51772703,-0.127854211,26,12.833333333333334,13.0,13.0,13.0,13.0,13.0,12.833333333333334,12.833333333333334,15.166666666666666,18.666666666666668,20.5,23.0,25.5,25.666666666666668,24.166666666666668,25.0,24.666666666666668,24.166666666666668,19.0,19.5,20.5,17.666666666666668,13.5,12.0
16,"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,20,,,,,,,,,,,,,,,,,4.25,3.0,1.3333333333333333,0.5,0.6666666666666666,1.0,,
16,"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,21,1.5,2.0,2.0,2.0,2.0,2.0,1.5,0.0,0.16666666666666666,1.0,1.5,1.8333333333333333,1.3333333333333333,1.1666666666666667,1.5,2.1666666666666665,2.5,,,,,2.0,2.0,1.5
17,"Hatton Wall, Holborn",51.5216612,-0.109006325,23,,,,,,,,,,,,,,,,,,,12.8,12.333333333333334,4.0,,,
17,"Hatton Wall, Holborn",51.5216612,-0.109006325,24,,,,,,,,,,,,,,,,,,,,,1.0,0.25,,
17,"Hatton Wall, Holborn",51.5216612,-0.109006325,25,11.0,11.0,11.666666666666666,13.0,13.0,13.5,14.0,13.666666666666666,11.833333333333334,22.0,23.5,24.833333333333332,23.833333333333332,23.666666666666668,22.333333333333332,24.333333333333332,23.333333333333332,19.833333333333332,18.0,,,9.0,8.666666666666666,9.666666666666666
18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,24,,,,,,,,,,,,,,,,,21.833333333333332,19.833333333333332,,,,,,
18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,25,,,,,,,,,,,,23.0,24.666666666666668,24.333333333333332,24.833333333333332,24.333333333333332,,,17.5,22.166666666666668,23.166666666666668,22.25,,
18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.8333333333333333,9.5,13.0,18.5,,,,,,,,,,4.5,0.6666666666666666,0.0
19,"Taviton Street, Bloomsbury",51.52505093,-0.131161087,30,15.333333333333334,16.0,16.0,16.0,16.0,16.0,16.333333333333332,17.166666666666668,15.666666666666666,20.5,28.833333333333332,28.333333333333332,28.333333333333332,29.0,27.5,27.5,29.0,23.0,14.333333333333334,6.833333333333333,1.3333333333333333,5.833333333333333,15.333333333333334,15.0
20,"Drummond Street , Euston",51.52773634,-0.135273468,28,22.0,22.0,22.0,22.0,22.0,22.0,21.666666666666668,19.666666666666668,10.5,5.833333333333333,9.5,21.5,21.0,20.333333333333332,19.833333333333332,18.5,19.0,19.666666666666668,20.0,22.5,24.166666666666668,23.0,23.0,22.666666666666668
21,"Hampstead Road (Cartmel), Euston",51.53007835,-0.13884627,25,19.0,19.0,19.0,19.0,19.0,19.0,18.833333333333332,14.5,4.666666666666667,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5,1.1666666666666667,1.8333333333333333,4.5,9.5,15.166666666666666,15.666666666666666,16.166666666666668,16.0,16.833333333333332
22,"Northington Street , Holborn",51.5222641,-0.114079481,19,9.0,9.0,9.0,9.0,9.0,9.333333333333334,10.0,9.166666666666666,9.666666666666666,18.0,15.833333333333334,13.0,14.5,13.666666666666666,11.833333333333334,10.0,9.333333333333334,5.666666666666667,2.0,2.8333333333333335,3.5,4.333333333333333,7.5,8.666666666666666
23,"Red Lion Square, Holborn",51.51943538,-0.119123345,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.833333333333333,3.5,5.333333333333333,9.666666666666666,8.5,9.5,9.333333333333334,8.833333333333334,5.833333333333333,0.8333333333333334,0.0,0.0,0.3333333333333333,1.5,1.0
24,"British Museum, Bloomsbury",51.51908011,-0.124678402,34,1.0,1.3333333333333333,2.0,2.0,2.0,2.0,2.3333333333333335,4.666666666666667,9.333333333333334,9.166666666666666,12.666666666666666,13.5,14.166666666666666,18.833333333333332,21.8,,,,,10.0,7.833333333333333,3.1666666666666665,1.3333333333333333,1.0
24,"British Museum, Bloomsbury",51.51908011,-0.124678402,35,,,,,,,,,,,,,,,21.0,19.333333333333332,16.666666666666668,15.333333333333334,13.666666666666666,11.6,,,,
25,"Doric Way , Somers Town",51.5288338,-0.132250369,49,,,,,,,,,,,,,,,,,,9.4,14.833333333333334,18.666666666666668,21.666666666666668,23.75,,
25,"Doric Way , Somers Town",51.5288338,-0.132250369,50,15.0,15.0,16.0,16.0,16.0,16.0,15.5,10.666666666666666,11.333333333333334,1.8333333333333333,0.0,0.0,0.16666666666666666,2.1666666666666665,2.1666666666666665,1.5,0.8333333333333334,4.0,,,,18.0,15.0,13.5
26,"Ampton Street , Clerkenwell",51.52728093,-0.11829517,21,5.0,5.0,5.0,5.0,5.0,5.0,4.5,2.8333333333333335,0.0,0.16666666666666666,0.3333333333333333,1.1666666666666667,1.5,1.1666666666666667,10.333333333333334,13.333333333333334,12.166666666666666,12.166666666666666,12.0,13.666666666666666,15.666666666666666,12.833333333333334,4.833333333333333,5.0
27,"Bouverie Street, Temple",51.51382102,-0.107927706,33,5.0,5.0,5.0,5.0,5.0,5.0,4.166666666666667,4.833333333333333,11.166666666666666,31.666666666666668,33.0,33.0,29.666666666666668,27.0,29.333333333333332,29.666666666666668,28.666666666666668,24.0,4.666666666666667,0.5,0.16666666666666666,2.0,4.833333333333333,4.0
28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,17,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,2.3333333333333335,5.0,7.0,,,,,,,,,,,1.0,1.0,1.0
28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,18,,,,,,,,,,,8.0,9.166666666666666,8.5,7.833333333333333,7.666666666666667,6.166666666666667,8.0,5.166666666666667,,,,,,
28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,19,,,,,,,,,,,,,,,,,,,3.3333333333333335,1.5,3.0,0.75,,
29,"Hereford Road, Bayswater",51.513735,-0.193487,22,8.0,8.0,8.0,8.0,8.0,8.0,6.833333333333333,3.8333333333333335,1.0,0.0,0.0,8.833333333333334,8.333333333333334,5.333333333333333,3.5,8.333333333333334,8.333333333333334,8.333333333333334,9.0,13.666666666666666,13.666666666666666,10.666666666666666,6.0,6.833333333333333
